Row Labels;4TC_PCURMON;4TC_P+1MON
15/12/2011;13893;12700
16/12/2011;13900;12783
19/12/2011;13900;12770
20/12/2011;13883;12683
21/12/2011;13836;12482
22/12/2011;13838;12071
23/12/2011;11783;11408
28/12/2011;11708;11375
29/12/2011;11633;11358
30/12/2011;11613;11325
03/01/2012;11875;11400
04/01/2012;11886;11357
05/01/2012;11336;11039
06/01/2012;11275;10767
09/01/2012;11229;10700
10/01/2012;10993;10457
11/01/2012;10668;10050
12/01/2012;10525;9721
13/01/2012;10486;9764
16/01/2012;10200;9654
17/01/2012;9971;9500
18/01/2012;9843;9221
19/01/2012;9836;9307
20/01/2012;9836;9586
23/01/2012;9793;9536
24/01/2012;9700;9107
25/01/2012;9636;8764
26/01/2012;9568;8436
27/01/2012;9464;8157
30/01/2012;9364;7807
31/01/2012;7271;9514
01/02/2012;6914;9107
02/02/2012;7132;9761
03/02/2012;7708;10333
06/02/2012;7314;10100
07/02/2012;7439;10421
08/02/2012;8108;11429
09/02/2012;8571;11861
10/02/2012;8675;12275
13/02/2012;8000;11000
14/02/2012;7646;10471
15/02/2012;7464;9907
16/02/2012;7467;10125
17/02/2012;7271;9882
20/02/2012;7096;9408
21/02/2012;7014;9086
22/02/2012;6967;8796
23/02/2012;6936;9021
24/02/2012;6924;9164
27/02/2012;6900;9129
28/02/2012;6864;8593
29/02/2012;8432;10443
01/03/2012;8711;10700
02/03/2012;8521;10618
05/03/2012;8311;10439
06/03/2012;7814;9979
07/03/2012;8021;10361
08/03/2012;8157;10575
09/03/2012;8158;10667
12/03/2012;7993;10304
13/03/2012;7829;10064
14/03/2012;7757;9800
15/03/2012;7900;10200
16/03/2012;7818;10014
19/03/2012;7786;9943
20/03/2012;7786;9957
21/03/2012;7811;9932
22/03/2012;7771;9893
23/03/2012;7708;9567
26/03/2012;7629;9379
27/03/2012;7607;9057
28/03/2012;7643;9514
29/03/2012;7664;9650
30/03/2012;9667;9917
02/04/2012;9325;9600
03/04/2012;9121;9432
04/04/2012;9136;9532
05/04/2012;9171;9693
10/04/2012;9164;9961
11/04/2012;9211;10504
12/04/2012;9246;10504
13/04/2012;9371;10746
16/04/2012;9529;10757
17/04/2012;9714;11275
18/04/2012;9796;11564
19/04/2012;10107;11871
20/04/2012;10325;12507
23/04/2012;10389;12350
24/04/2012;10543;12550
25/04/2012;10593;13143
26/04/2012;10493;12621
27/04/2012;10496;12133
30/04/2012;12007;9936
01/05/2012;11975;9967
02/05/2012;12614;10521
03/05/2012;11707;9829
04/05/2012;11321;9575
08/05/2012;10864;9279
09/05/2012;11029;9486
10/05/2012;10929;9350
11/05/2012;11071;9693
14/05/2012;10907;9621
15/05/2012;10857;9557
16/05/2012;10807;9521
17/05/2012;10793;9461
18/05/2012;10907;9664
21/05/2012;10800;9471
22/05/2012;10579;8900
23/05/2012;10432;8136
24/05/2012;10308;7808
25/05/2012;10243;7600
28/05/2012;10242;7683
29/05/2012;10236;7436
30/05/2012;10186;6775
31/05/2012;7021;7346
01/06/2012;7000;7275
06/06/2012;7243;7582
07/06/2012;7893;8029
08/06/2012;7938;8021
11/06/2012;8175;8354
12/06/2012;8286;8382
13/06/2012;8321;8364
14/06/2012;8107;8057
15/06/2012;8100;8050
