Row Labels;4TC_PCURMON;4TC_P+1MON;Days until M CURM;Days until M +1MON;CURM days away;1MON  days away;22;Total days;Perpetual
22/04/2010;30988;28255;8;39;14;17;;31;29754
23/04/2010;30943;27980;7;38;15;16;;31;29509
26/04/2010;31070;28455;4;35;18;13;;31;29552
27/04/2010;31455;30298;3;34;19;12;;31;30746
28/04/2010;31200;30083;2;33;20;11;;31;30479
29/04/2010;31120;29760;1;32;21;10;;31;30199
30/04/2010;29675;28685;0;31;22;9;;31;28972
04/05/2010;30225;29150;27;57;5;35;;40;30091
05/05/2010;31200;29970;26;56;4;34;;38;31071
06/05/2010;32325;31063;25;55;3;33;;36;32220
07/05/2010;32847;31347;24;54;2;32;;34;32759
10/05/2010;33428;31831;21;51;1;29;;30;33375
11/05/2010;33586;31906;20;50;2;28;;30;33474
12/05/2010;33014;31342;19;49;3;27;;30;32847
13/05/2010;33461;31847;18;48;4;26;;30;33246
14/05/2010;34056;32347;17;47;5;25;;30;33771
17/05/2010;34086;32292;14;44;8;22;;30;33608
18/05/2010;34347;32556;13;43;9;21;;30;33810
19/05/2010;33944;31486;12;42;10;20;;30;33125
20/05/2010;34294;32169;11;41;11;19;;30;33515
21/05/2010;34528;32431;10;40;12;18;;30;33689
24/05/2010;34917;32875;7;37;15;15;;30;33896
25/05/2010;34859;33063;6;36;16;14;;30;33901
26/05/2010;34461;32400;5;35;17;13;;30;33293
27/05/2010;34434;31800;4;34;18;12;;30;32854
28/05/2010;31333;28567;3;33;19;11;;30;29581
01/06/2010;31028;28228;29;60;7;38;;45;30592
02/06/2010;29875;27139;28;59;6;37;;43;29493
03/06/2010;29486;26764;27;58;5;36;;41;29154
04/06/2010;29444;26625;26;57;4;35;;39;29155
07/06/2010;29522;26650;23;54;1;32;;33;29435
08/06/2010;28806;25558;22;53;0;31;;31;28806
09/06/2010;28356;24931;21;52;1;30;;31;28246
10/06/2010;27792;24164;20;51;2;29;;31;27558
11/06/2010;27181;23639;19;50;3;28;;31;26838
14/06/2010;26597;22339;16;47;6;25;;31;25773
15/06/2010;27181;22864;15;46;7;24;;31;26206
16/06/2010;27169;22875;14;45;8;23;;31;26061
17/06/2010;26708;22558;13;44;9;22;;31;25503
18/06/2010;26883;23286;12;43;10;21;;31;25723
21/06/2010;26794;23389;9;40;13;18;;31;25366
