"","Capesize.Bulkcarrier.Fleet...Average.Age..Years.","Panamax.Bulkcarrier.Fleet...Average.Age..Years.","Handymax.Bulkcarrier.Fleet...Average.Age..Years.","Handysize.Bulkcarrier.Fleet...Average.Age..Years."
"01-02-2010",11.030500239075,12.3361049588608,11.1498667012228,16.347721234131
"02-02-2010",11.0239612134259,12.3336603888526,11.1427509379649,16.3377859375909
"03-02-2010",11.0176942411006,12.3313046064409,11.1359114152103,16.3281040723849
"04-02-2010",11.0116993158256,12.3290376092673,11.1293481261121,16.3186756288213
"05-02-2010",11.0059764315996,12.3268593950624,11.1230610641002,16.3095005974612
"06-02-2010",11.000525582694,12.324769961646,11.117050222881,16.3005789691208
"07-02-2010",10.9953467636521,12.3227693069263,11.1113155964375,16.2919107348686
"08-02-2010",10.9904399692897,12.3208574289006,11.1058571790289,16.2834958860276
"09-02-2010",10.9858051946947,12.3190343256547,11.1006749651911,16.2753344141739
"10-02-2010",10.9814424352277,12.3172999953641,11.0957689497366,16.2674263111375
"11-02-2010",10.9773516865213,12.3156544362923,11.0911391277541,16.2597715690021
"12-02-2010",10.9735329444805,12.3140976467922,11.086785494609,16.2523701801053
"13-02-2010",10.9699862052826,12.3126296253054,11.0827080459432,16.2452221370375
"14-02-2010",10.966711465377,12.3112503703621,11.0789067776748,16.2383274326431
"15-02-2010",10.9637087214858,12.309959880582,11.0753816859988,16.2316860600209
"16-02-2010",10.9609779706027,12.3087581546729,11.0721327673862,16.2252980125218
"17-02-2010",10.9585192099946,12.307645191432,11.0691600185849,16.2191632837517
"18-02-2010",10.9563324371998,12.306620989745,11.0664634366188,16.2132818675689
"19-02-2010",10.9544176500293,12.3056855485869,11.0640430187886,16.207653758086
"20-02-2010",10.9527748465665,12.3048388670211,11.0618987626714,16.2022789496692
"21-02-2010",10.9514040251668,12.3040809442001,11.0600306661208,16.1971574369383
"22-02-2010",10.9503051844578,12.3034117793651,11.0584387272665,16.1922892147659
"23-02-2010",10.9494783233398,12.3028313718464,11.0571229445151,16.1876742782791
"24-02-2010",10.9489234409846,12.3023397210627,11.0560833165493,16.1833126228573
"25-02-2010",10.9486405368372,12.3019368265222,11.0553198423285,16.1792042441356
"26-02-2010",10.9486296106141,12.3016226878212,11.0548325210883,16.1753491380002
"27-02-2010",10.9488906623046,12.3013973046455,11.0546213523411,16.1717473005927
"28-02-2010",10.9494236921699,12.3012606767694,11.0546863358752,16.1683987283071
"01-03-2010",10.9502287007435,12.3012128040562,11.0550274717559,16.1653034177913
"02-03-2010",10.9507140698522,12.3012211495391,11.0552343334053,16.1622684158517
"03-03-2010",10.950879799982,12.3012857132263,11.0553069210305,16.15929371945
"04-03-2010",10.9507258912984,12.3014064951826,11.055245234704,16.1563793256079
"05-03-2010",10.9502523436477,12.3015834955288,11.0550492743643,16.1535252314084
"06-03-2010",10.9494591565557,12.3018167144421,11.0547190398151,16.1507314339945
"07-03-2010",10.9483463292284,12.302106152156,11.0542545307259,16.1479979305692
"08-03-2010",10.9469138605518,12.3024518089602,11.0536557466315,16.1453247183962
"09-03-2010",10.9451617490922,12.302853685201,11.0529226869329,16.1427117948
"10-03-2010",10.9430899930951,12.3033117812802,11.0520553508958,16.1401591571641
"11-03-2010",10.940698590487,12.3038260976567,11.0510537376522,16.1376668029337
"12-03-2010",10.937987538874,12.3043966348453,11.0499178461995,16.1352347296138
"13-03-2010",10.934956835542,12.305023393417,11.0486476754005,16.1328629347697
"14-03-2010",10.9316064774572,12.3057063739994,11.0472432239837,16.1305514160272
"15-03-2010",10.9279364612658,12.3064455772761,11.0457044905432,16.1283001710722
"16-03-2010",10.9239467832939,12.3072410039871,11.0440314735387,16.1261091976513
"17-03-2010",10.9196374395477,12.3080926549287,11.0422241712954,16.1239784935711
"18-03-2010",10.9150084257133,12.3090005309533,11.0402825820041,16.1219080566988
"19-03-2010",10.9100597371569,12.3099646329698,11.0382067037212,16.1198978849617
"20-03-2010",10.9047913689246,12.3109849619434,11.0359965343686,16.1179479763474
"21-03-2010",10.8992033157426,12.3120615188955,11.033652071734,16.1160583289045
"22-03-2010",10.8932955720168,12.3131943049035,11.0311733134702,16.1142289407405
"23-03-2010",10.8870681318336,12.3143833211018,11.0285602570962,16.1124598100251
"24-03-2010",10.8805209889587,12.3156285686802,11.0258128999958,16.1107509349863
"25-03-2010",10.8736541368385,12.3169300488857,11.0229312394192,16.1091023139145
"26-03-2010",10.8664675685985,12.3182877630207,11.0199152724813,16.1075139451582
"27-03-2010",10.858961277045,12.3197017124448,11.0167649961634,16.1059858271283
"28-03-2010",10.8511352546637,12.321171898573,11.0134804073116,16.1045179582947
"29-03-2010",10.8429894936206,12.3226983228774,11.0100615026381,16.1031103371882
"30-03-2010",10.8345239857611,12.3242809868857,11.0065082787202,16.1017629623993
"31-03-2010",10.825738722611,12.3259198921823,11.0028207320012,16.1004758325796
"01-04-2010",10.8166336953758,12.3276150404079,10.9989988587895,16.0992489464404
"02-04-2010",10.80783411891,12.3291116004129,10.995225586172,16.0979451262039
"03-04-2010",10.7993399844044,12.3304095736953,10.9915009103713,16.0965643705648
"04-04-2010",10.7911512833562,12.3315089615544,10.9878248276588,16.0951066781407
"05-04-2010",10.7832680075681,12.3324097650909,10.9841973343548,16.0935720474727
"06-04-2010",10.7756901491486,12.3331119852064,10.9806184268278,16.0919604770242
"07-04-2010",10.7684177005119,12.3336156226039,10.9770881014952,16.0902719651823
"08-04-2010",10.7614506543779,12.3339206777877,10.973606354823,16.0885065102566
"09-04-2010",10.7547890037724,12.3340271510629,10.9701731833259,16.0866641104797
"10-04-2010",10.7484327420267,12.3339350425362,10.966788583567,16.0847447640072
"11-04-2010",10.7423818627779,12.3336443521156,10.9634525521583,16.0827484689183
"12-04-2010",10.7366363599689,12.3331550795098,10.9601650857602,16.080675223214
"13-04-2010",10.731196227848,12.3324672242292,10.9569261810818,16.0785250248191
"14-04-2010",10.7260614609695,12.3315807855852,10.9537358348808,16.0762978715812
"15-04-2010",10.7212320541933,12.3304957626903,10.9505940439636,16.0739937612708
"16-04-2010",10.7167080026848,12.3292121544586,10.947500805185,16.0716126915813
"17-04-2010",10.7124893019154,12.3277299596049,10.9444561154486,16.0691546601292
"18-04-2010",10.7085759476618,12.3260491766456,10.9414599717065,16.0666196644538
"19-04-2010",10.7049679360068,12.3241698038982,10.9385123709595,16.064007702018
"20-04-2010",10.7016652633384,12.3220918394811,10.9356133102568,16.0613187702062
"21-04-2010",10.6986679263504,12.3198152813144,10.9327627866964,16.0585528663272
"22-04-2010",10.6959759220427,12.3173401271192,10.9299607974248,16.0557099876122
"23-04-2010",10.6935892477202,12.3146663744176,10.927207339637,16.0527901312153
"24-04-2010",10.6915079009937,12.3117940205331,10.9245024105767,16.0497932942135
"25-04-2010",10.6897318797798,12.3087230625904,10.9218460075361,16.0467194736069
"26-04-2010",10.6882611823007,12.3054534975154,10.9192381278563,16.0435686663187
"27-04-2010",10.687095807084,12.3019853220348,10.9166787689263,16.0403408691941
"28-04-2010",10.6862357529632,12.2983185326772,10.9141679281843,16.0370360790029
"29-04-2010",10.6856810190772,12.2944531257717,10.9117056031167,16.033654292436
"30-04-2010",10.6854316048708,12.2903890974489,10.9092917912587,16.0301955061084
"01-05-2010",10.6854875100945,12.2861264436406,10.906926490194,16.0266597165581
"02-05-2010",10.68541188316,12.28212957906,10.9045016655585,16.0231084979505
"03-05-2010",10.6852047239919,12.278398499706,10.9020173149248,16.019541846731
"04-05-2010",10.6848660323826,12.2749332018436,10.8994734358061,16.0159597593292
"05-05-2010",10.6843958079932,12.2717336820041,10.8968700256558,16.0123622321593
"06-05-2010",10.683794050353,12.2687999369843,10.8942070818678,16.00874926162
"07-05-2010",10.6830607588594,12.2661319638476,10.8914846017762,16.0051208440944
"08-05-2010",10.6821959327786,12.2637297599233,10.8887025826559,16.0014769759506
"09-05-2010",10.6811995712448,12.2615933228064,10.8858610217219,15.9978176535406
"10-05-2010",10.6800716732606,12.2597226503586,10.8829599161298,15.9941428732017
"11-05-2010",10.6788122376968,12.258117740707,10.8799992629751,15.9904526312546
"12-05-2010",10.6774212632928,12.2567785922451,10.8769790592943,15.9867469240058
"13-05-2010",10.6758987486559,12.2557052036322,10.873899302064,15.9830257477451
"14-05-2010",10.6742446922625,12.2548975737941,10.8707599882013,15.9792890987483
"15-05-2010",10.6724590924564,12.2543557019222,10.8675611145635,15.9755369732742
"16-05-2010",10.6705419474502,12.2540795874739,10.8643026779484,15.971769367567
"17-05-2010",10.6684932553248,12.2540692301729,10.8609846750941,15.9679862778548
"18-05-2010",10.6663130140294,12.254324630009,10.8576071026793,15.9641877003511
"19-05-2010",10.6640012213815,12.2548457872376,10.8541699573228,15.960373631253
"20-05-2010",10.6615578750668,12.2556327023806,10.8506732355838,15.9565440667426
"21-05-2010",10.6589829726394,12.2566853762255,10.8471169339621,15.9526990029862
"22-05-2010",10.6562765115217,12.2580038098264,10.8435010488975,15.9488384361348
"23-05-2010",10.6534384890046,12.2595880045029,10.8398255767704,15.9449623623239
"24-05-2010",10.6504689022468,12.2614379618409,10.8360905139014,15.941070777673
"25-05-2010",10.647367748276,12.2635536836924,10.8322958565518,15.9371636782871
"26-05-2010",10.6441350239874,12.265935172175,10.8284416009227,15.9332410602543
"27-05-2010",10.6407707261451,12.268582429673,10.8245277431559,15.9293029196483
"28-05-2010",10.6372748513811,12.2714954588361,10.8205542793334,15.9253492525264
"29-05-2010",10.6336473961964,12.274674262581,10.8165212054778,15.9213800549317
"30-05-2010",10.6298883569592,12.2781188440892,10.8124285175516,15.9173953228901
"31-05-2010",10.6259977299067,12.2818292068091,10.8082762114578,15.9133950524128
"01-06-2010",10.6219755111442,12.285805354455,10.8040642830399,15.9093792394955
"02-06-2010",10.6180437947795,12.2895298092501,10.7999721697251,15.9054318613128
"03-06-2010",10.6142025768766,12.2930025749225,10.7959998674165,15.9015529139127
"04-06-2010",10.6104518535908,12.2962236549491,10.7921473721383,15.8977423934134
"05-06-2010",10.6067916211667,12.2991930525538,10.7884146800334,15.8940002959989
"06-06-2010",10.6032218759407,12.3019107707095,10.7848017873656,15.8903266179241
"07-06-2010",10.5997426143393,12.3043768121366,10.7813086905181,15.8867213555114
"08-06-2010",10.5963538328794,12.3065911793037,10.7779353859941,15.8831845051516
"09-06-2010",10.5930555281689,12.3085538744275,10.7746818704168,15.8797160633041
"10-06-2010",10.5898476969059,12.3102648994728,10.7715481405294,15.8763160264969
"11-06-2010",10.5867303358793,12.3117242561523,10.7685341931947,15.8729843913265
"12-06-2010",10.5837034419685,12.3129319459271,10.7656400253957,15.8697211544578
"13-06-2010",10.5807670121431,12.3138879700057,10.7628656342351,15.8665263126237
"14-06-2010",10.5779210434643,12.3145923293457,10.7602110169359,15.8633998626268
"15-06-2010",10.5751655330825,12.3150450246519,10.7576761708404,15.8603418013369
"16-06-2010",10.5725004782397,12.3152460563775,10.7552610934113,15.8573521256929
"17-06-2010",10.5699258762677,12.3151954247236,10.7529657822308,15.8544308327014
"18-06-2010",10.5674417245897,12.3148931296399,10.7507902350015,15.8515779194393
