"","Handysize.Bulker.Orderbook..No.","Handymax.Bulker.Orderbook..No.","Panamax.Bulker.Orderbook..No.","Capesize.Bulker.Orderbook..No.","Handysize.Bulker.Orderbook..CGT.","Handymax.Bulker.Orderbook..CGT.","Panamax.Bulker.Orderbook..CGT.","Capesize.Bulker.Orderbook..CGT.","Handysize.Bulker.Orderbook..DWT.","Handymax.Bulker.Orderbook..DWT.","Capesize.Bulker.Orderbook..DWT.","Handysize.Bulker.Orderbook..GT.","Handymax.Bulker.Orderbook..GT.","Capesize.Bulker.Orderbook..GT.","Panamax.Bulker.Orderbook..DWT."
"15-02-2020",263.438870332462,253.281222296366,252.545179090161,199.882207036607,2932679.60022329,4447686.64424405,5069532.66052928,7033580.94390411,7437718.0131465,15479990.2452368,43988810.1448918,4682336.91823093,9241005.83905617,23083317.7872037,21086447.7186974
"16-02-2020",264.17489914441,253.242320562478,252.054112830204,199.648608101429,2939890.7196215,4446730.43118554,5059710.05791398,7024439.55959311,7455667.1696218,15474860.8386599,43927620.5402379,4693051.28267275,9238744.21936671,23051655.9107647,21045613.4102223
"17-02-2020",264.898389671333,253.19538395053,251.604611957632,199.446945541727,2947020.38728593,4445641.5219095,5050726.66559379,7016365.84743625,7473556.77288069,15469378.6807559,43872910.9170125,4703688.88954682,9236215.63336191,23023360.1165232,21008257.2898382
"18-02-2020",265.609342637478,253.140412413539,251.196676022476,199.277219155624,2954068.61035371,4444419.91532596,5042582.47457598,7009359.79935135,7491386.84083151,15463543.7660371,43824681.2204488,4714249.74950193,9233420.07851072,22998430.3761537,20974379.3201501
"19-02-2020",266.307758754565,253.077405896505,250.830304616385,199.139428773229,2961035.3958807,4443065.6102125,5035277.47670804,7003421.40832536,7509157.3913237,15457356.0886642,43782931.4022682,4724733.87311041,9230357.55201557,22976866.6647011,20943979.4672455
"20-02-2020",266.993638721734,253.006364336347,250.505497372606,199.033574256608,2967920.7508409,4441578.60521324,5028811.6646774,6998550.66841372,7526868.44214618,15450815.6424424,43747661.4206777,4735141.27086722,9227028.05081042,22958668.9605795,20917057.7006929
"21-02-2020",267.666983225556,252.927287661925,250.22225396597,198.959655499777,2974724.68212658,4439958.89883925,5023185.03201105,6994747.57474003,7544520.01102782,15443922.4208232,43718871.2403672,4745471.95319022,9223431.57156157,22943837.2455705,20893613.9935407
"22-02-2020",268.327792940114,252.84017579411,249.980574112963,198.917672428762,2981447.19654917,4438206.48946961,5018397.57307695,6992012.12349787,7562112.11563956,15436676.4169077,43696560.8325199,4755725.93042144,9219568.11066972,22932371.5048287,20873648.3223226
"23-02-2020",268.976068526874,252.745028645668,249.780457571633,198.907625001519,2988088.3008378,4436321.37534957,5014449.28308226,6990344.31194842,7579644.77359091,15429077.6234408,43680730.1747995,4765903.21282497,9215437.66426638,22924271.7268749,20857160.6670505
"24-02-2020",269.611810634814,252.641846121371,249.621904141665,198.929513207998,2994648.0016408,4434303.55459237,5011340.15807478,6989744.13842237,7597118.00243353,15421126.0328166,43671379.2513599,4776003.81058916,9211040.22821737,22919537.9036015,20844151.0112204
