"","World.Steel.Production..000.tonnes."
"19-12-2006",3385.03225806451
"20-12-2006",3385.03225806451
"21-12-2006",3385.03225806451
"22-12-2006",3385.03225806451
"23-12-2006",3385.03225806451
"24-12-2006",3385.03225806451
"25-12-2006",3385.03225806451
"26-12-2006",3385.03225806451
"27-12-2006",3385.03225806451
"28-12-2006",3385.03225806451
"29-12-2006",3385.03225806451
"30-12-2006",3385.03225806451
"31-12-2006",3385.03225806451
"01-01-2007",3456.51612903226
"02-01-2007",3456.51612903226
"03-01-2007",3456.51612903226
"04-01-2007",3456.51612903226
"05-01-2007",3456.51612903226
"06-01-2007",3456.51612903226
"07-01-2007",3456.51612903226
"08-01-2007",3456.51612903226
"09-01-2007",3456.51612903226
"10-01-2007",3456.51612903226
"11-01-2007",3456.51612903226
"12-01-2007",3456.51612903226
"13-01-2007",3456.51612903226
"14-01-2007",3456.51612903226
"15-01-2007",3456.51612903226
"16-01-2007",3456.51612903226
"17-01-2007",3456.51612903226
"18-01-2007",3456.51612903226
"19-01-2007",3456.51612903226
"20-01-2007",3456.51612903226
"21-01-2007",3456.51612903226
"22-01-2007",3456.51612903226
"23-01-2007",3456.51612903226
"24-01-2007",3456.51612903226
"25-01-2007",3456.51612903226
"26-01-2007",3456.51612903226
"27-01-2007",3456.51612903226
"28-01-2007",3456.51612903226
"29-01-2007",3456.51612903226
"30-01-2007",3456.51612903226
"31-01-2007",3456.51612903226
"01-02-2007",3591.96428571428
"02-02-2007",3591.96428571428
"03-02-2007",3591.96428571428
"04-02-2007",3591.96428571428
"05-02-2007",3591.96428571428
"06-02-2007",3591.96428571428
"07-02-2007",3591.96428571428
"08-02-2007",3591.96428571428
"09-02-2007",3591.96428571428
"10-02-2007",3591.96428571428
"11-02-2007",3591.96428571428
"12-02-2007",3591.96428571428
"13-02-2007",3591.96428571428
"14-02-2007",3591.96428571428
"15-02-2007",3591.96428571428
"16-02-2007",3591.96428571428
"17-02-2007",3591.96428571428
"18-02-2007",3591.96428571428
"19-02-2007",3591.96428571428
"20-02-2007",3591.96428571428
"21-02-2007",3591.96428571428
"22-02-2007",3591.96428571428
"23-02-2007",3591.96428571428
"24-02-2007",3591.96428571428
"25-02-2007",3591.96428571428
"26-02-2007",3591.96428571428
"27-02-2007",3591.96428571428
"28-02-2007",3591.96428571428
"01-03-2007",3620.58064516129
"02-03-2007",3620.58064516129
"03-03-2007",3620.58064516129
"04-03-2007",3620.58064516129
"05-03-2007",3620.58064516129
"06-03-2007",3620.58064516129
"07-03-2007",3620.58064516129
"08-03-2007",3620.58064516129
"09-03-2007",3620.58064516129
"10-03-2007",3620.58064516129
"11-03-2007",3620.58064516129
"12-03-2007",3620.58064516129
"13-03-2007",3620.58064516129
"14-03-2007",3620.58064516129
"15-03-2007",3620.58064516129
"16-03-2007",3620.58064516129
"17-03-2007",3620.58064516129
"18-03-2007",3620.58064516129
"19-03-2007",3620.58064516129
"20-03-2007",3620.58064516129
"21-03-2007",3620.58064516129
"22-03-2007",3620.58064516129
"23-03-2007",3620.58064516129
"24-03-2007",3620.58064516129
"25-03-2007",3620.58064516129
"26-03-2007",3620.58064516129
"27-03-2007",3620.58064516129
"28-03-2007",3620.58064516129
"29-03-2007",3620.58064516129
"30-03-2007",3620.58064516129
"31-03-2007",3620.58064516129
"01-04-2007",3645.3
"02-04-2007",3645.3
"03-04-2007",3645.3
"04-04-2007",3645.3
"05-04-2007",3645.3
"06-04-2007",3645.3
"07-04-2007",3645.3
"08-04-2007",3645.3
"09-04-2007",3645.3
"10-04-2007",3645.3
"11-04-2007",3645.3
"12-04-2007",3645.3
"13-04-2007",3645.3
"14-04-2007",3645.3
"15-04-2007",3645.3
"16-04-2007",3645.3
"17-04-2007",3645.3
"18-04-2007",3645.3
"19-04-2007",3645.3
"20-04-2007",3645.3
"21-04-2007",3645.3
"22-04-2007",3645.3
"23-04-2007",3645.3
"24-04-2007",3645.3
"25-04-2007",3645.3
"26-04-2007",3645.3
"27-04-2007",3645.3
"28-04-2007",3645.3
"29-04-2007",3645.3
"30-04-2007",3645.3
"01-05-2007",3614.09677419355
"02-05-2007",3614.09677419355
"03-05-2007",3614.09677419355
"04-05-2007",3614.09677419355
"05-05-2007",3614.09677419355
"06-05-2007",3614.09677419355
"07-05-2007",3614.09677419355
"08-05-2007",3614.09677419355
"09-05-2007",3614.09677419355
"10-05-2007",3614.09677419355
"11-05-2007",3614.09677419355
"12-05-2007",3614.09677419355
"13-05-2007",3614.09677419355
"14-05-2007",3614.09677419355
"15-05-2007",3614.09677419355
"16-05-2007",3614.09677419355
"17-05-2007",3614.09677419355
"18-05-2007",3614.09677419355
"19-05-2007",3614.09677419355
"20-05-2007",3614.09677419355
"21-05-2007",3614.09677419355
"22-05-2007",3614.09677419355
"23-05-2007",3614.09677419355
"24-05-2007",3614.09677419355
"25-05-2007",3614.09677419355
"26-05-2007",3614.09677419355
"27-05-2007",3614.09677419355
"28-05-2007",3614.09677419355
"29-05-2007",3614.09677419355
"30-05-2007",3614.09677419355
"31-05-2007",3614.09677419355
"01-06-2007",3707.46666666666
"02-06-2007",3707.46666666666
"03-06-2007",3707.46666666666
"04-06-2007",3707.46666666666
"05-06-2007",3707.46666666666
"06-06-2007",3707.46666666666
"07-06-2007",3707.46666666666
"08-06-2007",3707.46666666666
"09-06-2007",3707.46666666666
"10-06-2007",3707.46666666666
"11-06-2007",3707.46666666666
"12-06-2007",3707.46666666666
"13-06-2007",3707.46666666666
"14-06-2007",3707.46666666666
"15-06-2007",3707.46666666666
"16-06-2007",3707.46666666666
"17-06-2007",3707.46666666666
"18-06-2007",3707.46666666666
"19-06-2007",3707.46666666666
"20-06-2007",3707.46666666666
"21-06-2007",3707.46666666666
"22-06-2007",3707.46666666666
"23-06-2007",3707.46666666666
"24-06-2007",3707.46666666666
"25-06-2007",3707.46666666666
"26-06-2007",3707.46666666666
"27-06-2007",3707.46666666666
"28-06-2007",3707.46666666666
"29-06-2007",3707.46666666666
"30-06-2007",3707.46666666666
"01-07-2007",3557.93548387097
"02-07-2007",3557.93548387097
"03-07-2007",3557.93548387097
"04-07-2007",3557.93548387097
"05-07-2007",3557.93548387097
"06-07-2007",3557.93548387097
"07-07-2007",3557.93548387097
"08-07-2007",3557.93548387097
"09-07-2007",3557.93548387097
"10-07-2007",3557.93548387097
"11-07-2007",3557.93548387097
"12-07-2007",3557.93548387097
"13-07-2007",3557.93548387097
"14-07-2007",3557.93548387097
"15-07-2007",3557.93548387097
"16-07-2007",3557.93548387097
"17-07-2007",3557.93548387097
"18-07-2007",3557.93548387097
"19-07-2007",3557.93548387097
"20-07-2007",3557.93548387097
"21-07-2007",3557.93548387097
"22-07-2007",3557.93548387097
"23-07-2007",3557.93548387097
"24-07-2007",3557.93548387097
"25-07-2007",3557.93548387097
"26-07-2007",3557.93548387097
"27-07-2007",3557.93548387097
"28-07-2007",3557.93548387097
"29-07-2007",3557.93548387097
"30-07-2007",3557.93548387097
"31-07-2007",3557.93548387097
"01-08-2007",3518.22580645161
"02-08-2007",3518.22580645161
"03-08-2007",3518.22580645161
"04-08-2007",3518.22580645161
"05-08-2007",3518.22580645161
"06-08-2007",3518.22580645161
"07-08-2007",3518.22580645161
"08-08-2007",3518.22580645161
"09-08-2007",3518.22580645161
"10-08-2007",3518.22580645161
"11-08-2007",3518.22580645161
"12-08-2007",3518.22580645161
"13-08-2007",3518.22580645161
"14-08-2007",3518.22580645161
"15-08-2007",3518.22580645161
"16-08-2007",3518.22580645161
"17-08-2007",3518.22580645161
"18-08-2007",3518.22580645161
"19-08-2007",3518.22580645161
"20-08-2007",3518.22580645161
"21-08-2007",3518.22580645161
"22-08-2007",3518.22580645161
"23-08-2007",3518.22580645161
"24-08-2007",3518.22580645161
"25-08-2007",3518.22580645161
"26-08-2007",3518.22580645161
"27-08-2007",3518.22580645161
"28-08-2007",3518.22580645161
"29-08-2007",3518.22580645161
"30-08-2007",3518.22580645161
"31-08-2007",3518.22580645161
"01-09-2007",3700.73333333333
"02-09-2007",3700.73333333333
"03-09-2007",3700.73333333333
"04-09-2007",3700.73333333333
"05-09-2007",3700.73333333333
"06-09-2007",3700.73333333333
"07-09-2007",3700.73333333333
"08-09-2007",3700.73333333333
"09-09-2007",3700.73333333333
"10-09-2007",3700.73333333333
"11-09-2007",3700.73333333333
"12-09-2007",3700.73333333333
"13-09-2007",3700.73333333333
"14-09-2007",3700.73333333333
"15-09-2007",3700.73333333333
"16-09-2007",3700.73333333333
"17-09-2007",3700.73333333333
"18-09-2007",3700.73333333333
"19-09-2007",3700.73333333333
"20-09-2007",3700.73333333333
"21-09-2007",3700.73333333333
"22-09-2007",3700.73333333333
"23-09-2007",3700.73333333333
"24-09-2007",3700.73333333333
"25-09-2007",3700.73333333333
"26-09-2007",3700.73333333333
"27-09-2007",3700.73333333333
"28-09-2007",3700.73333333333
"29-09-2007",3700.73333333333
"30-09-2007",3700.73333333333
"01-10-2007",3683.35483870968
"02-10-2007",3683.35483870968
"03-10-2007",3683.35483870968
"04-10-2007",3683.35483870968
"05-10-2007",3683.35483870968
"06-10-2007",3683.35483870968
"07-10-2007",3683.35483870968
"08-10-2007",3683.35483870968
"09-10-2007",3683.35483870968
"10-10-2007",3683.35483870968
"11-10-2007",3683.35483870968
"12-10-2007",3683.35483870968
"13-10-2007",3683.35483870968
"14-10-2007",3683.35483870968
"15-10-2007",3683.35483870968
"16-10-2007",3683.35483870968
"17-10-2007",3683.35483870968
"18-10-2007",3683.35483870968
"19-10-2007",3683.35483870968
"20-10-2007",3683.35483870968
"21-10-2007",3683.35483870968
"22-10-2007",3683.35483870968
"23-10-2007",3683.35483870968
"24-10-2007",3683.35483870968
"25-10-2007",3683.35483870968
"26-10-2007",3683.35483870968
"27-10-2007",3683.35483870968
"28-10-2007",3683.35483870968
"29-10-2007",3683.35483870968
"30-10-2007",3683.35483870968
"31-10-2007",3683.35483870968
"01-11-2007",3638
"02-11-2007",3638
"03-11-2007",3638
"04-11-2007",3638
"05-11-2007",3638
"06-11-2007",3638
"07-11-2007",3638
"08-11-2007",3638
"09-11-2007",3638
"10-11-2007",3638
"11-11-2007",3638
"12-11-2007",3638
"13-11-2007",3638
"14-11-2007",3638
"15-11-2007",3638
"16-11-2007",3638
"17-11-2007",3638
"18-11-2007",3638
"19-11-2007",3638
"20-11-2007",3638
"21-11-2007",3638
"22-11-2007",3638
"23-11-2007",3638
"24-11-2007",3638
"25-11-2007",3638
"26-11-2007",3638
"27-11-2007",3638
"28-11-2007",3638
"29-11-2007",3638
"30-11-2007",3638
"01-12-2007",3567.93548387097
"02-12-2007",3567.93548387097
"03-12-2007",3567.93548387097
"04-12-2007",3567.93548387097
"05-12-2007",3567.93548387097
"06-12-2007",3567.93548387097
"07-12-2007",3567.93548387097
"08-12-2007",3567.93548387097
"09-12-2007",3567.93548387097
"10-12-2007",3567.93548387097
"11-12-2007",3567.93548387097
"12-12-2007",3567.93548387097
"13-12-2007",3567.93548387097
"14-12-2007",3567.93548387097
"15-12-2007",3567.93548387097
"16-12-2007",3567.93548387097
"17-12-2007",3567.93548387097
"18-12-2007",3567.93548387097
"19-12-2007",3567.93548387097
"20-12-2007",3567.93548387097
"21-12-2007",3567.93548387097
"22-12-2007",3567.93548387097
"23-12-2007",3567.93548387097
"24-12-2007",3567.93548387097
"25-12-2007",3567.93548387097
"26-12-2007",3567.93548387097
"27-12-2007",3567.93548387097
"28-12-2007",3567.93548387097
"29-12-2007",3567.93548387097
"30-12-2007",3567.93548387097
"31-12-2007",3567.93548387097
"01-01-2008",3641.35483870968
"02-01-2008",3641.35483870968
"03-01-2008",3641.35483870968
"04-01-2008",3641.35483870968
"05-01-2008",3641.35483870968
"06-01-2008",3641.35483870968
"07-01-2008",3641.35483870968
"08-01-2008",3641.35483870968
"09-01-2008",3641.35483870968
"10-01-2008",3641.35483870968
"11-01-2008",3641.35483870968
"12-01-2008",3641.35483870968
"13-01-2008",3641.35483870968
"14-01-2008",3641.35483870968
"15-01-2008",3641.35483870968
"16-01-2008",3641.35483870968
"17-01-2008",3641.35483870968
"18-01-2008",3641.35483870968
"19-01-2008",3641.35483870968
"20-01-2008",3641.35483870968
"21-01-2008",3641.35483870968
"22-01-2008",3641.35483870968
"23-01-2008",3641.35483870968
"24-01-2008",3641.35483870968
"25-01-2008",3641.35483870968
"26-01-2008",3641.35483870968
"27-01-2008",3641.35483870968
"28-01-2008",3641.35483870968
"29-01-2008",3641.35483870968
"30-01-2008",3641.35483870968
"31-01-2008",3641.35483870968
"01-02-2008",3712.37931034483
"02-02-2008",3712.37931034483
"03-02-2008",3712.37931034483
"04-02-2008",3712.37931034483
"05-02-2008",3712.37931034483
"06-02-2008",3712.37931034483
"07-02-2008",3712.37931034483
"08-02-2008",3712.37931034483
"09-02-2008",3712.37931034483
"10-02-2008",3712.37931034483
"11-02-2008",3712.37931034483
"12-02-2008",3712.37931034483
"13-02-2008",3712.37931034483
"14-02-2008",3712.37931034483
"15-02-2008",3712.37931034483
"16-02-2008",3712.37931034483
"17-02-2008",3712.37931034483
"18-02-2008",3712.37931034483
"19-02-2008",3712.37931034483
"20-02-2008",3712.37931034483
"21-02-2008",3712.37931034483
"22-02-2008",3712.37931034483
"23-02-2008",3712.37931034483
"24-02-2008",3712.37931034483
"25-02-2008",3712.37931034483
"26-02-2008",3712.37931034483
"27-02-2008",3712.37931034483
"28-02-2008",3712.37931034483
"29-02-2008",3712.37931034483
"01-03-2008",3856.64516129032
"02-03-2008",3856.64516129032
"03-03-2008",3856.64516129032
"04-03-2008",3856.64516129032
"05-03-2008",3856.64516129032
"06-03-2008",3856.64516129032
"07-03-2008",3856.64516129032
"08-03-2008",3856.64516129032
"09-03-2008",3856.64516129032
"10-03-2008",3856.64516129032
"11-03-2008",3856.64516129032
"12-03-2008",3856.64516129032
"13-03-2008",3856.64516129032
"14-03-2008",3856.64516129032
"15-03-2008",3856.64516129032
"16-03-2008",3856.64516129032
"17-03-2008",3856.64516129032
"18-03-2008",3856.64516129032
"19-03-2008",3856.64516129032
"20-03-2008",3856.64516129032
"21-03-2008",3856.64516129032
"22-03-2008",3856.64516129032
"23-03-2008",3856.64516129032
"24-03-2008",3856.64516129032
"25-03-2008",3856.64516129032
"26-03-2008",3856.64516129032
"27-03-2008",3856.64516129032
"28-03-2008",3856.64516129032
"29-03-2008",3856.64516129032
"30-03-2008",3856.64516129032
"31-03-2008",3856.64516129032
"01-04-2008",3870.8
"02-04-2008",3870.8
"03-04-2008",3870.8
"04-04-2008",3870.8
"05-04-2008",3870.8
"06-04-2008",3870.8
"07-04-2008",3870.8
"08-04-2008",3870.8
"09-04-2008",3870.8
"10-04-2008",3870.8
"11-04-2008",3870.8
"12-04-2008",3870.8
"13-04-2008",3870.8
"14-04-2008",3870.8
"15-04-2008",3870.8
"16-04-2008",3870.8
"17-04-2008",3870.8
"18-04-2008",3870.8
"19-04-2008",3870.8
"20-04-2008",3870.8
"21-04-2008",3870.8
"22-04-2008",3870.8
"23-04-2008",3870.8
"24-04-2008",3870.8
"25-04-2008",3870.8
"26-04-2008",3870.8
"27-04-2008",3870.8
"28-04-2008",3870.8
"29-04-2008",3870.8
"30-04-2008",3870.8
"01-05-2008",3870.77419354839
"02-05-2008",3870.77419354839
"03-05-2008",3870.77419354839
"04-05-2008",3870.77419354839
"05-05-2008",3870.77419354839
"06-05-2008",3870.77419354839
"07-05-2008",3870.77419354839
"08-05-2008",3870.77419354839
"09-05-2008",3870.77419354839
"10-05-2008",3870.77419354839
"11-05-2008",3870.77419354839
"12-05-2008",3870.77419354839
"13-05-2008",3870.77419354839
"14-05-2008",3870.77419354839
"15-05-2008",3870.77419354839
"16-05-2008",3870.77419354839
"17-05-2008",3870.77419354839
"18-05-2008",3870.77419354839
"19-05-2008",3870.77419354839
"20-05-2008",3870.77419354839
"21-05-2008",3870.77419354839
"22-05-2008",3870.77419354839
"23-05-2008",3870.77419354839
"24-05-2008",3870.77419354839
"25-05-2008",3870.77419354839
"26-05-2008",3870.77419354839
"27-05-2008",3870.77419354839
"28-05-2008",3870.77419354839
"29-05-2008",3870.77419354839
"30-05-2008",3870.77419354839
"31-05-2008",3870.77419354839
"01-06-2008",3972.43333333333
"02-06-2008",3972.43333333333
"03-06-2008",3972.43333333333
"04-06-2008",3972.43333333333
"05-06-2008",3972.43333333333
"06-06-2008",3972.43333333333
"07-06-2008",3972.43333333333
"08-06-2008",3972.43333333333
"09-06-2008",3972.43333333333
"10-06-2008",3972.43333333333
