Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Jun-2000;103;177;184;67;1132937.74311;2725267.42472;3497162.34763;1999898.91848;2803856;8842887;11324817;1764903;5200745;5824053;13825909
Jul-2000;102;180;184;66;1127065.62144;2778545.6852;3498513.63575;1970771.48165;2794281;9022037;11166506;1760058;5310642;5740688;13832095
Aug-2000;107;179;182;65;1185424.63011;2765568.57193;3464726.28882;1941120.7701;2940011;8975536;10995315;1851900;5289371;5654820;13694233
Sep-2000;112;180;179;65;1246004.21688;2793995.94492;3406869.10424;1942396.37068;3095186;9056040;11008201;1950237;5362295;5660928;13457223
Oct-2000;108;182;172;60;1207547.93984;2824687.55137;3256629.23365;1794001.1362;3001629;9160527;10176883;1894802;5420611;5230824;12910097
Nov-2000;108;187;169;61;1194230.74881;2905649.88386;3201906.86338;1824970.71386;2960484;9403484;10360583;1865277;5581249;5322999;12688828
Dec-2000;110;192;163;61;1216248.67335;2985027.13528;3087357.90095;1827851.19531;3016084;9676468;10392075;1899126;5735275;5336896;12232782
Jan-2001;111;198;166;60;1228586.79693;3076646.83309;3152846.95827;1797886.64277;3040861;9982963;10219504;1919510;5908952;5249533;12506680
Feb-2001;108;190;152;58;1181449.36043;2967542.07067;2882119.37956;1738606.34356;2895981;9593575;9881651;1838864;5719710;5077903;11479350
Mar-2001;105;190;147;56;1149883.27842;2967310.7696;2789962.27764;1674913.41986;2820129;9596609;9491838;1791826;5718937;4883919;11113033
Apr-2001;101;187;133;50;1121665.6298;2924361.56091;2517472.43044;1498829.75428;2775618;9440587;8528570;1760659;5641349;4376954;10081250
May-2001;96;182;127;56;1068143.34409;2850381.37785;2404600.79359;1685723.78022;2643309;9186182;9637532;1679098;5504090;4936014;9633082
Jun-2001;89;173;119;56;999226.13061;2713646.88741;2255022.77653;1686278.86981;2487961;8731795;9643829;1578360;5245717;4938669;9041811
Jul-2001;89;169;110;52;1008537.70076;2649903.01321;2091799.15794;1569287.50367;2523213;8541078;9024234;1600328;5121094;4602461;8385669
Aug-2001;87;171;100;52;984235.85377;2684012.78015;1906664.53067;1582830.65391;2461644;8657819;9163558;1561588;5190091;4669899;7640270
Sep-2001;85;164;94;53;961936.8874;2576521.90523;1794555.98902;1619029.30899;2406029;8299436;9431435;1527032;4985644;4787041;7188897
Oct-2001;88;153;84;46;999115.3154;2413537.28931;1609428.11477;1409577.47893;2510405;7762804;8236504;1589669;4682455;4176867;6438146
Nov-2001;89;153;86;45;1004679.49984;2413493.45671;1635721.91611;1379742.82496;2523541;7778498;8065778;1594541;4682377;4090124;6607582
Dec-2001;94;146;82;43;1061917.33767;2301996.09039;1565181.27508;1320047.01186;2670759;7425501;7724050;1686431;4464699;3916510;6334654
Jan-2002;94;145;79;44;1055857.30514;2284401.00711;1509257.5025;1350036.87359;2653049;7371380;7896744;1673574;4428569;4003994;6112348
Feb-2002;89;141;64;40;1004501.89075;2221738.01213;1231748.49556;1230879.63954;2522551;7168503;7216948;1596836;4307740;3657899;4990378
Mar-2002;88;138;63;41;999478.23182;2175887.95609;1213050.08661;1260487.845;2523397;7016021;7375690;1595142;4220819;3743530;4915408
Apr-2002;89;132;57;40;1021496.72376;2080658.75343;1098015.27776;1231462.96351;2602495;6732323;7206567;1639406;4034117;3660640;4454529
May-2002;94;138;65;49;1079748.52025;2172719.54047;1250111.78628;1509515.36222;2767810;7051072;8831082;1732670;4209139;4487881;5086600
Jun-2002;91;134;61;48;1047928.75894;2109881.02973;1177099.27467;1479357.68389;2690609;6847499;8653070;1684869;4087037;4399593;4782090
Jul-2002;86;145;60;57;993500.44569;2281155.04186;1158930.53771;1756578.23926;2556075;7447381;10260372;1599636;4415631;5223364;4709039
Aug-2002;88;147;59;57;1009686.60462;2310159.12644;1139795.3728;1749429.45192;2600413;7565054;10182998;1616615;4467996;5187281;4632008
Sep-2002;91;143;68;58;1036608.4741;2251250.87405;1307296.92981;1778461.26901;2654300;7373839;10358996;1653372;4358885;5270220;5324189
Oct-2002;94;143;91;60;1070837.0814;2252428.52484;1733473.62719;1841060.73335;2735790;7380550;10741789;1706085;4362585;5458134;7073562
Nov-2002;98;142;98;65;1122845.55859;2233175.27957;1852325.91389;2000789.46791;2872540;7355879;11708093;1795125;4319192;5943892;7618313
Dec-2002;101;144;96;65;1172286.3188;2262696.88706;1815513.47589;2000789.46791;3021029;7496029;11708093;1889335;4372893;5943892;7465833
Jan-2003;104;154;112;68;1195139.71453;2425294.27304;2121935.11535;2091048.27178;3073483;8039200;12228627;1915223;4694293;6207737;8734604
Feb-2003;133;156;134;71;1415572.35731;2462963.41085;2544157.87141;2188127.50115;3517250;8154646;12826845;2190308;4776734;6505084;10497644
Mar-2003;132;161;138;75;1405333.73455;2542621.72748;2619792.20256;2308960.55805;3484404;8417281;13520870;2174924;4931915;6859218;10801565
Apr-2003;130;171;146;79;1387246.0715;2703905.97032;2770654.51392;2433555.04973;3446920;8973035;14263426;2148407;5248509;7231767;11426243
May-2003;134;172;156;84;1438350.79144;2726190.31915;2952776.3579;2586183.64997;3588993;9049310;15149918;2235087;5300550;7682327;12173438
