"Date","Ind Prod Excl Const VOLA","OC.PRODUCTION...TOTAL.INDUSTRY.EXCL..CONSTRUCTION.SADJ"
"31-03-2009",84.0191246354801,-17.3873692376979
"01-04-2009",84.0199984255981,-17.4132836722732
"02-04-2009",84.0217886478462,-17.435586135887
"03-04-2009",84.0244953071722,-17.4542770130775
"04-04-2009",84.0281184110571,-17.469356626112
"05-04-2009",84.032657969515,-17.4808252349927
"06-04-2009",84.0381139950932,-17.4886830374608
"07-04-2009",84.0444865028715,-17.4929301690003
"08-04-2009",84.0517755104635,-17.49356670284
"09-04-2009",84.059981038016,-17.4905926499548
"10-04-2009",84.0691031082079,-17.4840079590667
"11-04-2009",84.079141746252,-17.4738125166425
"12-04-2009",84.090096979895,-17.4600061468926
"13-04-2009",84.1019688394174,-17.4425886117683
"14-04-2009",84.1147573576316,-17.421559610957
"15-04-2009",84.128462569884,-17.3969187818776
"16-04-2009",84.1430845140556,-17.3686656996739
"17-04-2009",84.1586232305607,-17.3367998772073
"18-04-2009",84.1750787623475,-17.3013207650486
"19-04-2009",84.1924511548979,-17.262227751468
"20-04-2009",84.2107404562293,-17.2195201624258
"21-04-2009",84.2299467168914,-17.1731972615591
"22-04-2009",84.2500699899694,-17.1232582501703
"23-04-2009",84.2711103310834,-17.069702267213
"24-04-2009",84.2930677983878,-17.0125283892769
"25-04-2009",84.3159424525717,-16.9517356305723
"26-04-2009",84.3397343568591,-16.8873229429127
"27-04-2009",84.3644435770103,-16.8192892156973
"28-04-2009",84.3900701813201,-16.7476332758911
"29-04-2009",84.4166142406191,-16.672353888005
"30-04-2009",84.4440758282737,-16.593449754075
"01-05-2009",84.4724550201861,-16.510919513639
"02-05-2009",84.5003453149154,-16.4306516911046
"03-05-2009",84.5277467895484,-16.3526449024971
"04-05-2009",84.5546595198223,-16.2768978028264
"05-05-2009",84.5810835801211,-16.2034090860642
"06-05-2009",84.607019043481,-16.1321774851207
"07-05-2009",84.6324659815855,-16.0632017718235
"08-05-2009",84.6574244647685,-15.996480756896
"09-05-2009",84.6818945620144,-15.9320132899371
"10-05-2009",84.7058763409571,-15.8697982594012
"11-05-2009",84.7293698678811,-15.8098345925792
"12-05-2009",84.7523752077211,-15.75212125558
"13-05-2009",84.7748924240628,-15.6966572533123
"14-05-2009",84.7969215791428,-15.6434416294681
"15-05-2009",84.8184627338483,-15.5924734665054
"16-05-2009",84.8395159477179,-15.5437518856336
"17-05-2009",84.8600812789419,-15.4972760467966
"18-05-2009",84.8801587843617,-15.4530451486603
"19-05-2009",84.8997485194704,-15.4110584285968
"20-05-2009",84.918850538413,-15.3713151626729
"21-05-2009",84.9374648939868,-15.333814665637
"22-05-2009",84.9555916376403,-15.2985562909066
"23-05-2009",84.9732308194757,-15.2655394305584
"24-05-2009",84.9903824882463,-15.2347635153169
"25-05-2009",85.0070466913581,-15.2062280145449
"26-05-2009",85.023223474871,-15.1799324362347
"27-05-2009",85.0389128834961,-15.1558763269987
"28-05-2009",85.0541149605982,-15.1340592720624
"29-05-2009",85.0688297481958,-15.114480895257
"30-05-2009",85.083057286959,-15.0971408590132
"31-05-2009",85.0967976162121,-15.0820388643544
"01-06-2009",85.1100507739324,-15.0691746508929
"02-06-2009",85.1239561757978,-15.0553260314446
"03-06-2009",85.1385138602413,-15.0404927672323
"04-06-2009",85.1537238675001,-15.0246746025014
"05-06-2009",85.1695862396138,-15.007871264516
"06-06-2009",85.1861010204254,-14.9900824635532
"07-06-2009",85.20326825558,-14.9713078928996
"08-06-2009",85.2210879925277,-14.9515472288444
"09-06-2009",85.2395602805215,-14.9308001306751
"10-06-2009",85.2586851706173,-14.9090662406712
"11-06-2009",85.2784627156757,-14.8863451840978
"12-06-2009",85.2988929703605,-14.8626365691992
