Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Aug-2003;16;17;5;1;464430;814096;357788;137547;86.8;239.25;78.1;15.25;286601;477466;190193;73115
Sep-2003;13;6;5;5;387015;273528;366047;789192;65.78;71.05;83.65;161.5;233677;160741;190898;403952
Oct-2003;19;13;14;7;597385;601248;969104;1081031;115.97;165.64;182.6;141.4;366061;347315;513694;560450
Nov-2003;18;7;7;4;542358;303573;494807;642535;95.05;78.715;122.45;174.5;326746;179151;268043;329775
Dec-2003;24;11;6;3;617095;482533;425577;470289;182.8;105.7;117.2;92;384382;276218;225073;248703
Jan-2004;26;8;14;4;691587;370492;979222;597648;113.05;93.9;288.75;103.3;417411;217863;527179;311059
Feb-2004;22;8;3;2;568814;374339;203060;278806;208.55;141.65;60;65.75;348960;219391;107681;147421
Mar-2004;29;15;15;2;812180;732571;1082449;297352;284.25;305;272.75;63;491073;440230;574464;154416
Apr-2004;22;9;4;1;567649;393115;288249;149155;235.2;157.08;81.25;49;345142;233294;157016;76068
May-2004;22;4;2;1;621300;177818;123988;177755;160.15;75.7;21.25;18;381639;106156;69561;92308
Jun-2004;4;3;4;1;90988;155752;283622;172561;9.7;51.5;63;45;59375;90125;152124;87522
Jul-2004;26;5;8;5;754438;244463;579577;832476;317.45;117.35;208.45;205.2;459224;141019;304225;431361
Aug-2004;14;3;9;6;409185;156972;648573;1018559;97.05;0;187.04;311;247862;90170;344724;518192
Sep-2004;21;12;10;5;604206;571655;680785;746000;245.99;285.35;121.47;160.5;367258;321382;371748;387600
Oct-2004;17;7;8;3;508157;314119;579314;447983;216.55;156.15;248.75;100.5;310946;181662;305954;233994
Nov-2004;24;29;24;10;682098;1333448;1717314;1642196;162.63;380.25;906.1;390;414348;768461;931807;835520
Dec-2004;27;16;18;2;718139;696910;1292278;422686;139.3;130.75;1023.95;100;438994;407533;692490;216166
Jan-2005;16;12;3;4;443632;595525;198234;616082;200.45;368.15;57.75;127.5;274663;338430;104550;328715
Feb-2005;20;11;16;10;556825;503468;1140284;1574762;243;239.15;494.05;336.7;341963;292256;608793;820625
Mar-2005;11;21;22;4;340052;1006213;1559722;622367;167.3;707.25;778.25;150;204100;579140;830801;320753
Apr-2005;12;9;18;7;363464;400432;1293323;1114588;182;172.8;590.05;249;219783;247412;695825;585756
May-2005;13;2;8;1;358274;87718;577564;152065;138.45;43.25;172.7;38;214300;49620;316404;77655
Jun-2005;13;3;1;1;328453;140015;71761;141014;114.6;81;35;24;197722;84727;38180;77453
Jul-2005;8;1;3;0;239040;42529;205001;0;121.25;24.5;77.3;0;150111;25676;108699;0
Aug-2005;1;3;6;1;37994;146052;422432;149528;12;64.75;155.8;27;23144;84213;242927;77171
Sep-2005;15;9;4;6;421931;438313;297078;955695;197.75;189;153;313.8;256574;248277;156516;492290
Oct-2005;17;11;6;2;481607;537228;422510;329477;194.25;292.85;160.5;108;289446;310271;226133;167463
Nov-2005;7;7;5;0;142149;324677;355810;0;39.2;145;117.55;0;85144;185558;191588;0
Dec-2005;16;4;4;2;378797;190020;263135;272222;130.55;81;40;54;234124;109231;150733;146235
Jan-2006;7;9;9;3;206645;439193;646144;509230;67.05;204.45;193.6;118.5;123963;269242;346587;258444
Feb-2006;5;8;11;7;135469;402156;767576;1206306;45.45;310.3;146.2;354.7;79089;232029;415529;614821
Mar-2006;13;20;14;8;358762;951294;985606;1366548;156.15;411.25;270.85;413.5;216030;561506;531975;704992
Apr-2006;17;11;11;1;443762;519499;773919;170000;146.6;166.8;236.05;65;272351;303728;409553;84448
May-2006;12;8;29;3;357954;401102;2245971;487025;140.65;199.95;1002.35;135;225788;240956;1184948;243058
