"","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Coal.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Grain.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.3mma."
"21-01-2015",88.6867084355205,97.4358973683216,96.7602881312016,96.7110018284571,94.5047227568717,5.12693644214594,5.19333441163419,1.7832234174987,2.02538069609902,7.810620742446,7.35472931894786,-9.96125612937393,-8.97558506692889,-0.663313021751342,-0.490351510425082
"22-01-2015",88.6042871403083,96.9324568089826,96.3386379834189,96.2964775038444,94.1716215744137,5.19350378982211,5.25521949765569,1.34185278673997,1.8214423560718,7.63289891945814,7.24864280211879,-9.71800357643318,-8.8226601129258,-0.66285801519824,-0.490563621139266
"23-01-2015",88.5514618325839,96.3965031270376,95.9191894248454,95.866273873381,93.8327150742217,5.27146360406918,5.31912149433837,0.871528366267044,1.60725686058557,7.42955945764567,7.13500331855298,-9.43743987740019,-8.66045313729047,-0.659665126921016,-0.490043965273828
"24-01-2015",88.5280111030986,95.8267254118032,95.5009345556318,95.4194085421992,93.4869775837667,5.36338834938292,5.38504764878605,0.371810350080166,1.38281965357008,7.19907679896917,7.0137967306424,-9.11851134594852,-8.48896173195864,-0.653674449907114,-0.488792510766242
"25-01-2015",88.5338366616839,95.2217300210314,95.0828683442645,94.9548610674743,93.1333627570918,5.47231129547909,5.45300543766163,-0.157768554123919,1.14812596088463,6.93972174305723,6.88500795937424,-8.76002021260958,-8.30818335103291,-0.644773583241779,-0.48680918040236
"26-01-2015",88.5689629252833,94.5800371721441,94.663986212559,94.4715706281844,92.7708004081328,5.6018266070477,5.52300256803496,-0.71770356192253,0.903170790216534,6.64954847384893,6.74862098245492,-8.36062012642406,-8.11811531074476,-0.632795523170171,-0.48409385181163
"27-01-2015",88.6335371202919,93.9000773227733,94.2432816217425,93.968433602664,92.3981932718883,5.75620794153504,5.59504697825692,-1.30851827524912,0.64794893097506,6.32637996107324,6.60461883231685,-7.91881109858003,-7.91875478941497,-0.617515529666083,-0.480646357459572
"28-01-2015",88.7278298996338,93.1801873317541,93.8197436538249,93.4443010484204,92.0144136836379,5.94054946836177,5.66914683885975,-1.93076517201972,0.382454954180355,5.96779162703944,6.45298359400751,-7.432933869048,-7.7100988274116,-0.598646909715792,-0.476466484637406
"29-01-2015",88.8522364771626,92.4186063911812,93.392354582448,92.8979760784569,91.618300166158,6.16093396283254,5.74531055348354,-2.5850261227616,0.106683212348131,5.57109315619859,6.29369640296068,-6.90116367505629,-7.49214432710603,-0.575835638200309,-0.471553975448963
"30-01-2015",89.0072782841399,91.6134717195773,92.9600874273733,92.3282111281121,91.2086539146072,6.42463352138471,5.82354675982944,-3.27191293472742,-0.179372160630441,5.13330831100182,6.12673744264958,-6.32150339800354,-7.26488805282699,-0.548653715449612,-0.465908526794746
"31-01-2015",89.1936051547357,90.7628140056415,92.5219034867348,91.7337051061741,90.7842351684419,6.74034952124032,5.90386433063916,-3.99206792400352,-0.475717249613647,4.65115260262353,5.95208594212152,-5.69177606307082,-7.02832663081262,-0.516591136839013,-0.459529790353241
"01-02-2015",89.4119980497092,89.8645525914312,92.0767498411251,91.1131004237633,90.3437594593841,7.11849974248541,5.98627237470123,-4.74616451614737,-0.782358358338583,4.1210086490238,5.76972017341384,-5.00961666336495,-6.78245654916024,-0.479046323756106,-0.45241737255943
"02-02-2015",89.6297964054531,89.0525594179098,91.6816171986301,90.5466657305855,89.9523762781612,7.4342784367029,6.06698333442454,-5.44217727880227,-1.07116010222839,3.64215073326549,5.59776654758662,-4.36966857472798,-6.54461382542544,-0.443512571432481,-0.442574697399324
"03-02-2015",89.8479130906735,88.3248483982902,91.3355560885157,90.0331075402636,89.6089011359036,7.69810545272438,6.14600636321176,-6.08075706184037,-1.34212862456108,3.21098621505826,5.43620367231315,-3.76952840515681,-6.31479492868379,-0.409323172873793,-0.430001157584514
"04-02-2015",90.0672623083059,87.6796395948985,91.0377349548411,89.5712531129724,89.3122945334645,7.91868637352607,6.22335042303784,-6.66250100886657,-1.59526968927329,2.82428027470111,5.28501144795439,-3.20694226545341,-6.09299644712968,-0.375836644711109,-0.414695977333546
"05-02-2015",90.2887634272582,87.1153548655518,90.7874381582993,89.1600477774196,89.0616588154612,8.10329977708673,6.29902428546647,-7.18795311561463,-1.83058868108305,2.47913164378826,5.14417106505837,-2.67979730450809,-5.87921508802554,-0.342424691279537,-0.396658212324034
"06-02-2015",90.5133448358057,86.6306140035176,90.5840642565957,88.7985525224424,88.8562354535959,8.25803740991305,6.37303653264479,-7.65760473864417,-2.04809060560399,2.17295083838979,5.01366500202027,-2.18611377426611,-5.67344767765307,-0.308460416133001,-0.37588674963441
"07-02-2015",90.7419478327892,86.2242313616099,90.4271245592325,88.485941852722,88.6954027510319,8.38800519831397,6.44539555827672,-8.07189505481398,-2.24778008945234,1.90344073140098,4.89347702290247,-1.72403759457672,-5.47569116126592,-0.273306559812051,-0.352380307675246
"08-02-2015",90.9755305729264,85.8952129521675,90.3162419532263,88.2215019037167,88.5786739608798,8.49749173025604,6.51610956857491,-8.43121147196169,-2.42966138034475,1.66857931830408,4.78359217541476,-1.29183339000119,-5.28594260304471,-0.236303543174192,-0.326137436110198
"09-02-2015",91.2150720827713,85.6427540158194,90.2511499969369,88.004628811511,88.5056958130979,8.5901097672486,6.58518658319136,-8.73588999117331,-2.59373834718911,1.46660454704236,4.68399678905414,-0.887877972428759,-5.10419918605303,-0.196757091948034,-0.297156515766499
"10-02-2015",91.4615763641559,85.4662370530913,90.2316922798306,87.8348273338579,88.47624744535,8.66891545577083,6.65263443612693,-8.98621552098203,-2.74001448016664,1.29600109819228,4.5946784734041,-0.510654245023839,-4.93045821219592,-0.153925210315245,-0.265435758535064
"11-02-2015",91.7160766023104,85.3652303140391,90.2578220466385,87.7117097192639,88.4902397345836,8.73650917189787,6.71846077661982,-9.18242214378951,-2.86849289080614,1.15548901625172,4.51562611659316,-0.158745504610156,-4.76471710217962,-0.107004259110295,-0.230973207260182
"12-02-2015",91.979639496303,85.3394867422142,90.3296020850075,87.6349948215366,88.5477150273063,8.79512132672742,6.78267307001305,-9.32469333475915,-2.97917631205028,1.04401410675036,4.44682988391248,0.169169878906273,-4.60697339547345,-0.0551138774283015,-0.193766735618737
"13-02-2015",92.253369729946,85.3889433703778,90.4472048763741,87.6045074577708,88.648847267744,8.84668596395592,6.84527859860108,-9.41316213338597,-3.07206709831352,0.960740027136364,4.38828121659233,0.474323426057244,-4.45722475027313,0.00271953526949487,-0.153814047989021
"14-02-2015",92.538414601911,85.5137211664877,90.6109130104224,87.6201780083083,88.7939425242688,8.89290457812629,6.90628446245579,-9.44791126790334,-3.14716722553249,0.905042012101021,4.33997283073736,0.75786117291656,-4.31546894346615,0.0675810864719151,-0.111112679309106
"15-02-2015",92.8359688344561,85.7141253295777,90.8211198641238,87.6820422577576,88.9834399156897,8.93530225937815,6.96569758023152,-9.42897323264325,-3.20447829120775,0.876502186265601,4.30189871642034,1.02084797515842,-4.18170387059866,0.140687750098759,-0.0656599949247425
"16-02-2015",93.1472795809233,85.9906460362569,91.0783305469891,87.7902414767096,89.2179129402093,8.97527801732662,7.0235246899499,-9.35633031842202,-3.24400151443796,0.874906429063644,4.27405413693458,1.26427150723432,-4.05592754584424,0.22341120014407,-0.017453190426798
"17-02-2015",93.4736516529917,86.343959639652,91.3831631148042,87.9450227443377,89.4980712110689,9.01415094462228,7.07977234976388,-9.22991459598038,-3.26573773594565,0.900242768297493,4.25643562820457,1.4890459716878,-3.93813810197447,0.317303546901152,0.0335107085217685
"18-02-2015",93.8164529895978,86.7749303237268,91.7363500547665,88.1467395126171,89.8247626041339,9.053203743466,7.13444693870154,-9.04960785246188,-3.2696874180953,0.952701290316657,4.24904099835508,1.6960155325377,-3.82833379033122,0.424126458648886,0.0872348463694155
"19-02-2015",94.1771203904432,87.2846122170248,92.1387400455909,88.3958524134528,90.1989758239207,9.09372505133666,7.18755465738954,-8.81524148087072,-3.25585064490299,1.03267556614414,4.25186932743844,1.88595748562454,-3.72651298080056,0.545884215199029,0.143722537870037
"20-02-2015",94.5571655381224,87.8742519710039,92.5912999968132,88.6929303105593,90.6218433958289,9.13705196256711,7.23910152875629,-8.52659632240524,-3.22422712203824,1.14076560425025,4.26492096732009,2.0595851778263,-3.63267416178881,0.684861313476306,0.202977268287489
"21-02-2015",94.9581813341109,88.5452918092723,93.0951173721936,89.038651598494,91.0946450936358,9.18461414886615,7.28909339871504,-8.18340246151998,-3.17481617681787,1.27778235212714,4.28819754172238,2.21755068610729,-3.5468159401998,0.843665330711259,0.265002693610606
"22-02-2015",95.3818485751689,89.2993730551804,93.6514028028008,89.4338057518098,91.6188118126263,9.23798103464526,7.33753593682685,-7.78533897352439,-3.10761675819149,1.44475378043726,4.32170194642655,2.3604472664614,-3.46893704141439,1.02527584947248,0.329802640778803
"23-02-2015",95.8299429981463,90.1383401464005,94.2614929960575,89.8792951278664,92.1959299000792,9.29891358380928,7.3844346369436,-7.33203362448231,-3.0226274367193,1.64293259538204,4.365438349633,2.48881158194709,-3.39903630927151,1.23310036250099,0.397381107918169
"24-02-2015",96.3043427227133,91.0642451463103,94.9268539477368,90.3761370274156,92.827745956216,9.36942240683585,7.42979481783101,-6.82306252313153,-2.91984640454164,1.87380563715319,4.41941219247986,2.60312571818161,-3.33711270605092,1.47103820626906,0.467742264588164
"25-02-2015",96.8070361232137,92.079352763218,95.6490844646274,90.9254660176658,93.5161721201423,9.45183410552139,7.47362162377186,-6.25794972449803,-2.79927147534051,2.13910503497844,4.48363018971984,2.70381899386399,-3.28316531245793,1.74355372282573,0.540890452038882
"26-02-2015",97.3401301626338,93.1861458897031,96.4299200063329,91.5285365231324,94.2632918567792,9.54886804459183,7.51592002514939,-5.63616678483413,-2.660900084293,2.44082120245286,4.5581003305557,2.79126957312637,-3.23719332760965,2.05576002263849,0.616830183478889
"27-02-2015",97.9058592236174,94.3873316756234,97.2712368554362,92.1867256901885,95.0713662622972,9.66372608343528,7.55669481901099,-4.95713226746439,-2.5047292880169,2.78121777065333,4.64283187963407,2.8658058857689,-3.19919606902309,2.41351492004304,0.695566144353699
"28-02-2015",98.5065944735413,95.6858481496421,98.1750566260496,92.9015365318582,95.9428409071375,9.80019822886272,7.59595062961227,-4.22021119907721,-2.33075576450806,3.16284857107216,4.73783537819811,2.92770786071226,-3.16917297260518,2.82353084130349,0.777103192634862
"01-03-2015",99.1448538029026,97.0848714054697,99.1435511215852,93.6746013600339,96.8803532373287,9.96278769515402,7.63369190894143,-3.42471447595372,-2.13897581306947,3.58857679578471,4.84312264539889,2.97720797730001,-3.14712359264418,3.29350076744832,0.861446359119699
